# id ra dec z_spec Veli Velf Nwcls Nmemb Vdisp Vdisp_lo Vdisp_hi R500 R500_lo R500_hi M500 M500_lo M500_hi R200 R200_lo R200_hi M200 M200_lo M200_hi znew znew-err Rap Nmemb-wR200 SN
00095 338.789797  -1.120915   0.089408  25704.805  27602.191     65   42    369.045    -33.849     56.354   0.540464  -0.045396   0.075577   0.489115  -0.123248   0.205189   0.771801  -0.064827   0.107926   0.541013  -0.136326   0.226961   0.089448   0.001424  0.772   23     10.812
00109  29.871235  -0.105389   0.155703  46171.636  47493.721     25   10    514.018    -51.008    110.884   0.683000  -0.062067   0.134924   1.055367  -0.287716   0.625452   0.872387  -0.079277   0.172337   1.137862  -0.310206   0.674342   0.155961   0.001815  0.872    7     10.257
00115   3.215082   0.301939   0.148440  43858.737  45247.975     24   10    458.116    -30.166     73.144   0.620110  -0.037393   0.090667   0.783964  -0.141820   0.343873   0.827807  -0.049917   0.121034   0.854399  -0.154562   0.374768   0.148653   0.001691  0.828    8     10.178
00119  36.979993  -1.141792   0.070220  20317.235  22223.615     48   23    470.696    -34.689     58.766   0.682015  -0.046028   0.077975   0.964667  -0.195311   0.330874   0.941521  -0.063541   0.107645   1.062981  -0.215216   0.364595   0.070104   0.001700  0.942   22     10.108
00128  38.493584   0.080551   0.186920  55666.063  57019.926     28    5    209.842    -74.730     43.369   0.274611  -0.089556   0.051974   0.070869  -0.069335   0.040239   0.470095  -0.153308   0.088972   0.080306  -0.078568   0.045597   0.186398   0.000968  0.470    4      9.963
00131 350.605474   1.094798   0.119260  34569.968  37676.117     41    5    312.918    -46.211     97.757   0.426664  -0.057701   0.122062   0.247888  -0.100571   0.212751   0.596732  -0.080700   0.170716   0.271267  -0.110056   0.232816   0.118915   0.001144  0.597    5      9.821
00149  19.633402  -0.158426   0.077718  23048.944  24105.112     87   13    131.712    -24.600     36.246   0.199437  -0.034111   0.050259   0.024298  -0.012467   0.018370   0.403872  -0.069076   0.101778   0.028086  -0.014411   0.021233   0.077770   0.000657  0.404    7      9.571
00152   4.195187  -1.144063   0.155168  45629.012  46768.823     30    8    342.520    -34.812     70.835   0.472401  -0.043967   0.089464   0.349007  -0.097448   0.198287   0.661324  -0.061551   0.125243   0.383006  -0.106941   0.217603   0.155267   0.001336  0.661    8      9.547
00153  50.788467   0.765164   0.148402  44139.943  45092.083     44   11    248.430    -51.840     33.757   0.323627  -0.061842   0.040271   0.111431  -0.063880   0.041598   0.324086  -0.061929   0.040328   0.111474  -0.063905   0.041614   0.148754   0.000482  0.324    3      9.527
00158  30.330837  -0.450546   0.158917  47006.258  48566.378     14    5    408.093    -19.516     87.118   0.532168  -0.023306   0.104035   0.500878  -0.065806   0.293753   0.745757  -0.032660   0.145789   0.551363  -0.072439   0.323361   0.158351   0.001603  0.746    5      9.436
00169  44.878847   0.271575   0.191650  56748.914  58283.551     28   10    511.371    -96.404     95.093   0.641745  -0.110790   0.109283   0.908993  -0.470781   0.464378   0.679715  -0.117345   0.115749   0.925593  -0.479379   0.472858   0.191548   0.001411  0.680    4      9.260
00171  53.584227  -1.162165   0.136021  39658.645  41808.457     36   14    590.441    -56.537    109.182   0.795238  -0.069732   0.134663   1.632527  -0.429453   0.829339   1.144277  -0.100338   0.193768   1.828554  -0.481020   0.928922   0.136567   0.002331  1.144   12      9.258
00178 359.980103   0.706136   0.081880  23930.933  25413.107    101   53    396.058    -36.664     52.366   0.592891  -0.050261   0.071787   0.640965  -0.163009   0.232824   0.659492  -0.055907   0.079851   0.662004  -0.168359   0.240466   0.081372   0.001023  0.659   25      9.060
00183 330.140735  -0.575836   0.126454  37243.817  38391.422     72   42    328.601    -35.803     81.216   0.473640  -0.047258   0.107200   0.341583  -0.102245   0.231934   0.498941  -0.049782   0.112927   0.346805  -0.103808   0.235480   0.126740   0.000898  0.499    8      8.973
00186   9.997196  -0.887214   0.109839  32227.689  33751.534     26    9    371.750    -39.595     69.768   0.524089  -0.051118   0.090071   0.455107  -0.133168   0.234647   0.734234  -0.071614   0.126187   0.500566  -0.146470   0.258085   0.109637   0.001413  0.734    9      8.940
00208  15.356478  -0.056137   0.110095  32283.151  33837.875     60   22    458.846    -41.722     82.239   0.651591  -0.054257   0.106946   0.874850  -0.218541   0.430768   0.809168  -0.067378   0.132809   0.934501  -0.233442   0.460140   0.110599   0.001512  0.809   13      8.617
00210  30.135190   0.580347   0.164090  48558.584  49708.887     48    6    255.739    -43.322     70.521   0.353289  -0.054804   0.089213   0.147335  -0.068567   0.111615   0.493425  -0.076543   0.124600   0.160562  -0.074722   0.121635   0.164163   0.000970  0.493    6      8.615
