# id ra dec z_spec Veli Velf Nwcls Nmemb Vdisp Vdisp_lo Vdisp_hi R500 R500_lo R500_hi M500 M500_lo M500_hi R200 R200_lo R200_hi M200 M200_lo M200_hi znew znew-err Rap Nmemb-wR200 SN
00975   9.600554   0.128932   0.043071  12343.655  13463.979     69    7    440.402    -16.237     50.200   0.621853  -0.020995   0.064911   0.712556  -0.072172   0.223135   0.872334  -0.029452   0.091056   0.786798  -0.079692   0.246384   0.043454   0.001724  0.872    7      5.925
00993  32.166409   0.534853   0.067375  19908.018  20621.224     61   15    185.201    -23.893     47.369   0.279740  -0.033049   0.065522   0.066385  -0.023528   0.046646   0.441553  -0.052166   0.103422   0.073896  -0.026191   0.051925   0.067309   0.000733  0.442    8      5.898
01008 346.363081   0.796344   0.069590  20657.799  21046.330     30    9    127.566    -27.911     39.426   0.190265  -0.038122   0.053850   0.020932  -0.012582   0.017773   0.341418  -0.068408   0.096630   0.023629  -0.014203   0.020062   0.069695   0.000571  0.341    5      5.879
01030  56.900206   0.952825   0.181265  53627.774  54684.243     46   12    414.002    -15.652     61.070   0.535234  -0.018530   0.072301   0.521610  -0.054176   0.211381   0.874055  -0.030261   0.118070   0.597697  -0.062079   0.242216   0.181298   0.001862  0.874    6      5.844
01048 338.012077  -0.699146   0.107230  31991.453  32541.572     31    7    123.375    -14.081     14.081   0.174658  -0.018254   0.018254   0.016801  -0.005268   0.005268   0.366199  -0.038273   0.038273   0.019446  -0.006097   0.006097   0.107230   0.000605  0.366    4      5.827
01069  43.756883   1.156153   0.150925  44825.268  45593.336     27    8    249.408    -49.025     44.199   0.331365  -0.059647   0.053776   0.119928  -0.064762   0.058388   0.478390  -0.086112   0.077636   0.131520  -0.071022   0.064032   0.150861   0.000942  0.478    4      5.797
01074   3.641543  -0.014593   0.064439  18907.611  19782.405    134   75    194.513    -26.846     50.808   0.297209  -0.037564   0.071093   0.079390  -0.030102   0.056971   0.475591  -0.060109   0.113762   0.088783  -0.033663   0.063711   0.064558   0.000801  0.476   11      5.791
01100 340.892160   0.068765   0.125670  37666.224  38339.858     13    6     44.146    -63.194     53.567   0.065052  -0.085275   0.072285   0.000884  -0.003477   0.002948   0.499509  -0.654797   0.555049   0.001144  -0.004501   0.003815   0.125670   0.000072  0.500    4      5.744
01103 321.102740   1.154737   0.049987  14551.027  15474.987     53   21    280.120    -34.726     68.441   0.423357  -0.048062   0.094724   0.226314  -0.077077   0.151910   0.499254  -0.056678   0.111705   0.236840  -0.080662   0.158975   0.049841   0.000810  0.499    9      5.736
01147  39.274071  -0.413919   0.186148  55151.619  56301.024     16    7    421.380    -32.803     78.865   0.553414  -0.039452   0.094850   0.579561  -0.123949   0.297994   0.719804  -0.051314   0.123368   0.625808  -0.133840   0.321773   0.186279   0.001527  0.720    6      5.671
01182  11.527678   0.991613   0.107288  31266.555  33141.756     63   10    631.166    -34.147     71.381   0.852696  -0.042246   0.088311   1.955126  -0.290592   0.607457   1.199872  -0.059446   0.124267   2.178998  -0.323866   0.677014   0.106944   0.002368  1.200   10      5.611
01255   1.833658   0.494484   0.092761  26923.161  28620.287     63   11    477.044    -51.431    106.258   0.668898  -0.066040   0.136439   0.930297  -0.275543   0.569276   0.939075  -0.092714   0.191549   1.029681  -0.304980   0.630092   0.092450   0.001757  0.939   11      5.528
01359 339.635062   0.047585   0.058239  17176.009  17886.517     50    5    259.999    -23.993     32.724   0.371498  -0.031394   0.042818   0.154123  -0.039073   0.053292   0.518918  -0.043852   0.059809   0.168018  -0.042596   0.058096   0.057355   0.000219  0.519    5      5.418
01375 351.794649  -0.739002   0.099208  29328.097  30379.169     42    8    373.953    -41.867     84.345   0.523813  -0.053704   0.108192   0.449609  -0.138288   0.278595   0.701625  -0.071934   0.144918   0.488590  -0.150278   0.302750   0.099756   0.001319  0.702    7      5.399
01386 323.952987   0.989585   0.103589  30828.558  31239.274     20    5    163.322    -93.092     23.151   0.229301  -0.119688   0.029766   0.037880  -0.059317   0.014752   0.368144  -0.192161   0.047789   0.042099  -0.065923   0.016395   0.103589   0.000684  0.368    4      5.389
01457 337.900622   1.138343   0.037161  10825.206  11967.415     52   17    169.442    -35.132     53.796   0.271979  -0.051641   0.079075   0.059286  -0.033770   0.051710   0.378993  -0.071960   0.110188   0.064165  -0.036550   0.055966   0.037165   0.000451  0.379   17      5.324
01487 338.998744  -0.437028   0.058023  16889.108  17794.781     49    8    219.191    -25.251     53.585   0.330469  -0.034863   0.073983   0.108468  -0.034329   0.072849   0.461189  -0.048653   0.103248   0.117926  -0.037322   0.079201   0.058197   0.000770  0.461    8      5.294
01495  50.919185  -0.112853   0.053316  15330.787  16430.725     83   16    359.255    -28.071     51.638   0.533686  -0.038187   0.070247   0.454800  -0.097627   0.179591   0.695078  -0.049735   0.091491   0.490535  -0.105298   0.193702   0.053465   0.001193  0.695   13      5.281
01538  52.416664  -0.520722   0.086158  25507.841  26134.707     45   13    217.366    -52.187     54.820   0.320630  -0.070494   0.074050   0.101798  -0.067144   0.070531   0.387156  -0.085121   0.089414   0.106848  -0.070476   0.074030   0.086234   0.000662  0.387    6      5.227
01550 340.053103  -0.537145   0.087167  25304.882  26535.530     44    8    349.980    -44.950     57.876   0.498471  -0.058628   0.075487   0.382892  -0.135102   0.173952   0.698002  -0.082096   0.105703   0.420520  -0.148379   0.191046   0.087428   0.001296  0.698    8      5.211
01569  46.637246   0.994834   0.152834  45517.189  46246.284     22    6    149.251    -17.280     36.519   0.211714  -0.022446   0.047438   0.031340  -0.009968   0.021067   0.345780  -0.036660   0.077477   0.034889  -0.011097   0.023452   0.152638   0.000669  0.346    5      5.188
01575  52.617591  -0.868713   0.021362   6040.218   6879.637     71    8    212.114    -26.680     54.766   0.326305  -0.037585   0.077152   0.100891  -0.034863   0.071564   0.455295  -0.052443   0.107650   0.109627  -0.037882   0.077761   0.021224   0.000726  0.455    8      5.185
01584  29.448194  -0.146074   0.134862  40045.677  40798.456     29    6    200.876    -24.815     74.459   0.271945  -0.030765   0.092310   0.065208  -0.022131   0.066403   0.446281  -0.050487   0.151487   0.073176  -0.024835   0.074517   0.135080   0.000837  0.446    4      5.182
01598  11.049940  -0.523564   0.110619  32819.779  33676.886     31    9    273.434    -22.410     63.002   0.379197  -0.028459   0.080010   0.172516  -0.038843   0.109201   0.528061  -0.039632   0.111420   0.188083  -0.042348   0.119055   0.110432   0.000968  0.528    5      5.164
01616  39.742771   0.500821   0.047314  14038.381  14548.628     62   16     62.131    -14.191     32.898   0.098107  -0.020520   0.047570   0.002809  -0.001763   0.004086   0.273375  -0.057178   0.132554   0.003309  -0.002077   0.004814   0.047201   0.000430  0.273    5      5.151
01670 326.799599   0.736240   0.123662  35786.825  37810.724     49   30    557.759    -43.672     79.543   0.771349  -0.055308   0.100736   1.471221  -0.316471   0.576411   1.058433  -0.075892   0.138228   1.623705  -0.349271   0.636153   0.123275   0.002089  1.058   17      5.101
01700 344.907200   0.053564   0.109786  32315.828  33974.280     26   11    364.110    -13.580     69.382   0.497941  -0.017007   0.086890   0.390308  -0.039993   0.204325   0.454863  -0.015536   0.079373   0.379743  -0.038911   0.198794   0.109399   0.000800  0.455    4      5.073
01709  48.616776   0.241958   0.129585  38314.376  39603.183     63   33    267.405    -33.660     66.793   0.380438  -0.043853   0.087020   0.177574  -0.061407   0.121853   0.655486  -0.075558   0.149934   0.203581  -0.070400   0.139700   0.130262   0.001217  0.655   10      5.064
