# id      ra          dec        z         zerr       sn     rich  rich-err R200 R200-err
00157  26.411220   0.189675   0.206500   0.001500     9.445   3.71   1.93   0.33   0.17
00158  30.346743  -0.457711   0.160200   0.005200     9.436   7.76   2.79   0.58   0.21
00160 322.592800  -0.068579   0.130000   0.005000     9.392   7.01   2.65   0.54   0.20
00164  11.155276  -0.911604   0.192000   0.003000     9.338   4.08   2.02   0.35   0.17
00169  44.887245   0.253063   0.223250   0.001750     9.260   4.11   2.03   0.36   0.18
00171  53.572410  -1.180673   0.155400   0.000400     9.258   6.82   2.61   0.52   0.20
00178 359.992370   0.692896   0.084000   0.006000     9.060  13.07   3.62   0.87   0.24
00183 330.120450  -0.567466   0.106000   0.006000     8.973  11.03   3.32   0.76   0.23
00186   9.993254  -0.875510   0.110000   0.000000     8.940   7.49   2.74   0.56   0.21
00188  18.623528  -0.810108   0.172500   0.007500     8.932   7.95   2.82   0.59   0.21
00192   5.927034  -0.899893   0.055000   0.005000     8.843   9.20   3.03   0.66   0.22
00201 326.359560  -0.804364   0.169550   0.000450     8.719   7.96   2.82   0.59   0.21
00202 331.254940  -0.581944   0.138800   0.003800     8.709   4.94   2.22   0.41   0.18
00205   7.580736  -0.436464   0.217000   0.003000     8.673   2.51   1.58   0.24   0.15
00206 329.382200  -0.903603   0.208200   0.003200     8.644   6.51   2.55   0.51   0.20
00208  15.368358  -0.082930   0.112000   0.003000     8.617   7.65   2.77   0.57   0.21
00210  30.141783   0.574813   0.151000   0.001000     8.615   6.36   2.52   0.50   0.20
00211 358.176700   1.101885   0.197950   0.002050     8.606   2.88   1.70   0.27   0.16
00213  27.949661   1.213229   0.105650   0.005650     8.580   7.72   2.78   0.58   0.21
00214   9.085154   0.449573   0.215000   0.000000     8.551   3.73   1.93   0.33   0.17
00223  20.059244  -0.643697   0.222000   0.002000     8.468   1.70   1.30   0.18   0.14
00224   2.206447  -1.086537   0.142000   0.003000     8.464   3.28   1.81   0.30   0.16
00226 323.523930  -0.519035   0.213000   0.002000     8.454   2.93   1.71   0.27   0.16
00227  13.989633   0.674144   0.067500   0.002500     8.452  14.34   3.79   0.93   0.25
00229  11.598854  -0.143025   0.222750   0.002750     8.442   2.54   1.59   0.25   0.15
00233   1.199701  -0.583151   0.070000   0.000000     8.401   1.35   1.16   0.15   0.13
00237 337.272830   0.090790   0.053000   0.003000     8.385   2.57   1.60   0.25   0.15
00239  11.836160   0.382457   0.136000   0.006000     8.369   7.93   2.82   0.59   0.21
00242 332.316070   1.208714   0.143500   0.006500     8.357   9.63   3.10   0.68   0.22
00245 358.828250  -0.163162   0.218000   0.003000     8.338   4.46   2.11   0.38   0.18
00248 344.006620  -0.636771   0.119000   0.006000     8.315  11.07   3.33   0.76   0.23
00249  32.790936  -1.204548   0.187000   0.007000     8.309   6.90   2.63   0.53   0.20
00250  17.673710   1.062500   0.186000   0.001000     8.304   9.21   3.03   0.66   0.22
00265  14.349045  -1.261613   0.223500   0.003500     8.119   2.10   1.45   0.21   0.15
00271 336.001040   0.818144   0.195700   0.004300     8.087   1.69   1.30   0.18   0.14
00276  53.010060  -0.782805   0.160900   0.004100     8.058   6.31   2.51   0.49   0.20
00278  10.995148   1.031468   0.111000   0.001000     8.030   7.24   2.69   0.55   0.20
00283  27.556534   0.982371   0.143000   0.002000     8.008   7.73   2.78   0.58   0.21
00286   0.836040   0.912976   0.187500   0.002500     8.004   6.34   2.52   0.50   0.20
00287  10.093374   0.855497   0.117000   0.007000     7.996   7.14   2.67   0.54   0.20
00288  26.639898  -0.640721   0.074000   0.004000     7.993   8.00   2.83   0.59   0.21
00290   0.692940  -0.203244   0.208000   0.003000     7.989   1.03   1.02   0.12   0.12
00291  28.269012   1.049532   0.063000   0.002000     7.986  14.96   3.87   0.96   0.25
00293 333.346100  -0.151064   0.102000   0.007000     7.985   7.90   2.81   0.59   0.21
00294  33.465073   0.467534   0.214200   0.000800     7.980   5.18   2.28   0.42   0.19
00295  40.671986   0.006330   0.068000   0.007000     7.979   1.62   1.27   0.17   0.14
00296  10.466914   0.472600   0.148000   0.002000     7.975   4.85   2.20   0.40   0.18
00297 329.471700  -0.544199   0.146000   0.004000     7.975   7.93   2.82   0.59   0.21
00298 329.451320   0.996063   0.165800   0.000800     7.973   2.51   1.59   0.24   0.15
00301  18.018625  -0.731232   0.194750   0.000250     7.967   5.23   2.29   0.43   0.19
00304  36.984814   1.086960   0.128000   0.002000     7.961  10.13   3.18   0.71   0.22
00308  14.063135  -0.597729   0.111000   0.001000     7.936  13.46   3.67   0.89   0.24
00310  45.756115  -0.193151   0.204800   0.000200     7.929   5.75   2.40   0.46   0.19
00313  20.649036  -0.821350   0.193850   0.001150     7.895   6.56   2.56   0.51   0.20
00314 356.216030   1.177241   0.061000   0.006000     7.894   9.33   3.05   0.67   0.22
00315   5.767031   0.986572   0.222800   0.002200     7.893   2.61   1.62   0.25   0.16
00317   7.967566   0.293165   0.082000   0.003000     7.886   7.28   2.70   0.55   0.20
00322  28.345406   0.625712   0.138000   0.003000     7.840  10.02   3.16   0.71   0.22
00324  26.951698   0.189496   0.217500   0.002500     7.814   2.52   1.59   0.24   0.15
00326   9.779188  -0.302959   0.182000   0.002000     7.807   2.33   1.53   0.23   0.15
00330  19.854168  -0.736310   0.225500   0.000500     7.763   2.44   1.56   0.24   0.15
00333  27.814330  -0.769865   0.203250   0.001750     7.754   0.89   0.94   0.11   0.12
00336  31.813223  -1.009713   0.130500   0.005500     7.751   3.01   1.73   0.28   0.16
00338 340.664120   1.106502   0.066000   0.006000     7.740   7.44   2.73   0.56   0.21
00341  36.307410  -1.069622   0.212650   0.002650     7.726   2.28   1.51   0.23   0.15
00344  23.766396  -1.146235   0.166300   0.001300     7.709   7.12   2.67   0.54   0.20
00346   6.400440   0.789845   0.197450   0.002550     7.697   2.37   1.54   0.23   0.15
00348 340.919040   0.336343   0.210700   0.004300     7.675   0.80   0.89   0.10   0.11
00350 340.861180   0.349368   0.059000   0.009000     7.654   6.30   2.51   0.49   0.20
00351 345.231800   0.174281   0.059300   0.004300     7.652   0.74   0.86   0.09   0.11
00352  57.602406   0.830414   0.221000   0.006000     7.642   4.55   2.13   0.38   0.18
00353   6.634097   1.223054   0.152950   0.002050     7.638   4.62   2.15   0.39   0.18
00354  40.594540  -0.857878   0.222000   0.003000     7.620   1.13   1.06   0.13   0.12
00357 328.595550   0.073019   0.158150   0.006850     7.596   4.94   2.22   0.41   0.18
00359 323.628200  -0.150132   0.187500   0.002500     7.590   2.92   1.71   0.27   0.16
00363 345.029000   0.230115   0.215050   0.005050     7.577   2.42   1.56   0.24   0.15
