   1;000.144390;-00.603215; 0.45; 41
   2;000.161561;-00.848732; 0.60; 33
   3;000.175232;+00.710876; 0.60; 30
   4;000.176807;-01.061791; 0.55; 30
   5;000.184987;+00.057071; 0.60; 36
   6;000.205740;-00.557143; 0.60; 26
   7;000.226548;+00.779609; 0.30; 74
   8;000.229891;+00.268812; 0.58; 49
   9;000.299394;+00.005475; 0.28; 51
  10;000.333503;+00.945333; 0.63; 32
  11;000.343372;+01.065166; 0.28; 47
  12;000.437219;-01.088809; 0.53; 19
  13;000.474807;+00.530705; 0.60; 37
  14;000.520142;+00.380068; 0.58; 41
  15;000.520869;+00.330308; 0.35; 38
  16;000.525671;-00.987554; 0.20; 51
  17;000.544400;-01.074402; 0.68; 54
  18;000.550119;+00.645360; 0.47; 33
  19;000.565196;+00.732593; 0.35; 53
  20;000.565742;-00.577908; 0.24; 32
  21;000.644568;-00.355462; 0.65; 36
  22;000.647848;-01.070985; 0.60; 32
  23;000.653692;-00.532478; 0.53; 50
  24;000.663570;+00.194072; 0.60; 29
  25;000.666292;-00.275266; 0.70; 40
  26;000.677980;-00.275020; 0.30; 36
  27;000.705643;-01.102671; 0.42; 26
  28;000.706516;+00.611928; 0.53; 47
  29;000.709507;-00.364109; 0.42; 49
  30;000.740355;+00.670588; 0.70; 52
  31;000.753436;+00.118863; 0.40; 36
  32;000.823658;-00.708284; 0.70; 40
  33;000.870871;-01.104283; 0.53; 26
  34;000.899938;+00.467709; 0.53; 37
  35;000.915740;+00.131684; 0.65; 38
  36;000.920076;-01.095999; 0.68; 39
  37;000.923335;+00.808246; 0.68; 36
  38;000.941660;-00.767699; 0.45; 28
  39;000.962053;-00.211785; 0.68; 48
  40;000.985872;+00.727065; 0.40; 35
  41;001.143896;-01.097848; 0.70; 27
  42;001.146892;-00.186218; 0.68; 32
  43;001.172314;+00.382579; 0.70; 66
  44;001.173318;-01.094668; 0.48; 35
  45;001.178728;-00.751524; 0.65; 33
  46;001.179656;-01.090881; 0.20; 39
  47;001.202445;-00.018454; 0.50; 38
  48;001.210453;+00.572348; 0.40; 54
  49;001.226284;+01.011058; 0.53; 26
  50;001.226740;-00.814007; 0.42; 43
  51;001.235952;-00.052574; 0.30; 38
  52;001.243691;+00.140545; 0.63; 48
  53;001.253655;-00.263661; 0.70; 45
  54;001.297325;+01.017884; 0.30; 29
  55;001.306989;+00.517002; 0.60; 45
  56;001.320371;-00.189753; 0.35; 40
  57;001.325598;-00.799912; 0.30; 23
  58;001.341839;-00.776125; 0.58; 32
  59;001.367596;+00.004448; 0.70; 59
  60;001.393310;+00.259987; 0.55; 36
  61;001.449049;+00.854275; 0.22; 34
  62;001.490037;-00.786204; 0.20; 45
  63;001.508334;-00.053070; 0.47; 38
  64;001.524508;-00.673934; 0.47; 33
  65;001.534098;+01.101024; 0.65; 44
  66;001.607443;+01.117873; 0.40; 40
  67;001.664962;+00.432639; 0.58; 27
  68;001.684898;-00.674014; 0.63; 55
  69;001.718788;-00.528306; 0.42; 45
  70;001.800805;+00.881648; 0.30; 33
  71;001.861624;+00.906746; 0.53; 29
  72;001.915685;-00.737492; 0.35; 33
  73;001.921525;+00.989753; 0.60; 28
  74;001.925713;+00.788279; 0.60; 30
  75;001.929962;+00.364997; 0.70; 41
  76;001.936459;-00.106532; 0.60; 21
  77;001.967552;-00.295249; 0.33; 38
  78;002.133327;+01.051635; 0.70; 36
  79;002.133834;-00.665450; 0.60; 46
  80;002.151578;+01.050795; 0.32; 37
  81;002.170784;-00.994401; 0.18; 40
  82;002.179976;-01.000957; 0.42; 26
  83;002.180313;-00.919265; 0.63; 23
  84;002.193922;-00.231905; 0.45; 37
  85;002.194873;-00.219318; 0.70; 38
  86;002.264758;+00.265135; 0.50; 39
  87;002.268510;-00.914496; 0.55; 32
  88;002.280937;-00.323365; 0.40; 34
  89;002.374863;-00.038929; 0.28; 25
  90;002.399958;+00.892836; 0.30; 30
  91;002.488983;+00.370359; 0.35; 24
  92;002.545538;+00.866579; 0.70; 52
  93;002.588846;+00.738168; 0.38; 46
  94;002.609469;+01.085620; 0.53; 32
  95;002.628558;+00.090007; 0.68; 62
  96;002.629535;+00.254540; 0.50; 38
  97;002.648132;-00.312358; 0.55; 35
  98;002.672440;-00.540458; 0.28; 31
  99;002.721975;+00.296391; 0.68; 36
 100;002.774746;+00.854673; 0.37; 39
 101;002.840264;-01.032247; 0.43; 32
 102;002.856117;+00.901754; 0.55; 33
 103;002.927186;-00.222406; 0.65; 27
 104;002.948231;+00.402183; 0.50; 38
 105;002.949840;+00.494015; 0.70; 41
 106;002.950950;-00.307983; 0.70; 36
 107;002.960524;-00.313898; 0.35; 25
 108;003.132442;-00.136477; 0.70; 45
 109;003.147251;-00.204400; 0.55; 33
 110;003.175587;-00.488236; 0.58; 20
 111;003.182437;+00.095809; 0.45; 47
 112;003.188237;+00.323839; 0.47; 54
 113;003.188856;-01.037116; 0.53; 24
 114;003.221421;-00.752666; 0.65; 33
 115;003.229971;-01.050909; 0.40; 32
 116;003.232247;-00.301125; 0.32; 20
 117;003.295222;-00.789420; 0.50; 32
