# id ra dec z_spec Veli Velf Nwcls Nmemb Vdisp Vdisp_lo Vdisp_hi R500 R500_lo R500_hi M500 M500_lo M500_hi R200 R200_lo R200_hi M2
00 M200_lo M200_hi znew znew-err Rap Nmemb-wR200 SN
00382 338.810833  -1.114188   0.090450  26866.201  28471.889     29   18    271.023    -96.964     65.538   0.386543  -0.126642   0.085598   0.179122  -0.176056   0.118997   0.539775  -0.176845   0.119530   0.195470  -0.192124   0.129857   0.090711   0.000959  0.540    6     12.376
00392  36.982222  -1.138453   0.070236  20317.235  22223.615     49   23    470.696    -34.689     58.766   0.682010  -0.046027   0.077975   0.964660  -0.195309   0.330871   0.941514  -0.063541   0.107644   1.062973  -0.215214   0.364592   0.070104   0.001700  0.942   22     12.239
00410 350.604839   1.092055   0.119578  35299.962  37676.117     32    5    312.918    -46.211     97.757   0.426596  -0.057692   0.122043   0.247848  -0.100555   0.212717   0.596637  -0.080687   0.170689   0.271223  -0.110038   0.232779   0.118915   0.001144  0.597    5     11.996
00420  41.599137  -0.566310   0.042783  12339.458  13299.393     99   40    256.216    -20.574     38.207   0.402726  -0.029614   0.054996   0.193494  -0.042685   0.079270   0.466892  -0.034332   0.063758   0.201466  -0.044443   0.082536   0.043012   0.000749  0.467   20     11.870
00421   4.195187  -1.144063   0.155168  45629.012  46768.823     30    8    342.520    -34.812     70.835   0.472401  -0.043967   0.089464   0.349007  -0.097448   0.198287   0.661324  -0.061551   0.125243   0.383006  -0.106941   0.217603   0.155267   0.001336  0.661    8     11.860
00424  50.788467   0.765164   0.148402  44139.943  45092.083     32   11    248.430    -51.840     33.757   0.323627  -0.061842   0.040271   0.111431  -0.063880   0.041598   0.324086  -0.061929   0.040328   0.111474  -0.063905   0.041614   0.148754   0.000482  0.324    3     11.841
00457  30.330837  -0.450546   0.158917  47006.258  48566.378     14    5    408.093    -19.516     87.118   0.532168  -0.023306   0.104035   0.500878  -0.065806   0.293753   0.745757  -0.032660   0.145789   0.551363  -0.072439   0.323361   0.158351   0.001603  0.746    5     11.521
00502  19.636386  -0.159071   0.077654  23048.944  24105.112     76   12     94.974    -30.570     28.436   0.143121  -0.042186   0.039241   0.008979  -0.007940   0.007386   0.329579  -0.097146   0.090364   0.010465  -0.009254   0.008608   0.077812   0.000547  0.330    5     11.029
00594   9.997196  -0.887214   0.109839  32227.689  33751.534     26    9    371.750    -39.595     69.768   0.524089  -0.051118   0.090071   0.455107  -0.133168   0.234647   0.734234  -0.071614   0.126187   0.500566  -0.146470   0.258085   0.109637   0.001413  0.734    9     10.463
00595 359.984631   0.708077   0.081804  23930.933  25413.107     94   54    393.689    -35.809     53.932   0.589923  -0.049137   0.074007   0.631340  -0.157760   0.237607   0.657314  -0.054750   0.082461   0.652369  -0.163014   0.245521   0.081361   0.001019  0.657   26     10.459
00619  30.135190   0.580347   0.164090  48558.584  49708.887     47    6    255.739    -43.322     70.521   0.353289  -0.054804   0.089213   0.147335  -0.068567   0.111615   0.493425  -0.076543   0.124600   0.160562  -0.074722   0.121635   0.164163   0.000970  0.493    6     10.294
00626  15.356466  -0.073490   0.110398  32283.151  33837.875     50   37    435.308    -47.947     93.230   0.621691  -0.062708   0.121930   0.760087  -0.230001   0.447218   0.716373  -0.072258   0.140499   0.793719  -0.240179   0.467007   0.110761   0.001311  0.716   11     10.239
00690  11.846792   0.389633   0.132250  39107.926  40096.042     37    7    469.182    -13.275     78.456   0.597750  -0.015488   0.091534   0.690655  -0.053686   0.317281   0.803440  -0.020818   0.123031   0.753483  -0.058570   0.346144   0.132494   0.001702  0.803    4      9.879
00754  36.994284   1.081273   0.128577  37960.620  38874.688     30   10    230.977    -63.945     64.346   0.337855  -0.085653   0.086190   0.124244  -0.094495   0.095088   0.456120  -0.115636   0.116361   0.134141  -0.102023   0.102662   0.128639   0.000708  0.456    9      9.598
00795  28.287159   1.051970   0.059203  16862.726  18733.731     51   32    420.748    -48.814     92.819   0.629442  -0.066874   0.127159   0.750355  -0.239160   0.454759   0.701314  -0.074510   0.141679   0.775688  -0.247235   0.470112   0.059440   0.001082  0.701   18      9.431
00821  27.558630   0.994545   0.141086  42088.463  42581.022     13    5    154.361    -29.898     35.706   0.213748  -0.037913   0.045278   0.031866  -0.016956   0.020250   0.344121  -0.061037   0.072894   0.035378  -0.018825   0.022482   0.141086   0.000653  0.344    4      9.346
00833  10.985793   1.014274   0.109253  31831.663  33649.605     52   20    623.250    -30.902     66.278   0.856090  -0.038870   0.083369   1.982446  -0.270034   0.579171   1.181808  -0.053659   0.115088   2.197077  -0.299269   0.641876   0.108943   0.002344  1.182   15      9.307
00840  10.100836   0.859704   0.125758  37303.475  38096.726     23    5    348.336    -24.864     55.576   0.468771  -0.030641   0.068490   0.330924  -0.064893   0.145050   0.656146  -0.042889   0.095867   0.362999  -0.071183   0.159109   0.125758   0.001263  0.656    5      9.282
00902 333.362095  -0.140570   0.090025  26148.498  27308.695     62   28    277.646   -111.848     91.444   0.404992  -0.149403   0.122149   0.205926  -0.227902   0.186327   0.622086  -0.229491   0.187626   0.230225  -0.254793   0.208313   0.090046   0.001040  0.622   10      9.058
00903 340.643308   1.098363   0.057574  17165.816  17397.556     50   13    113.679    -14.827     27.270   0.169227  -0.020212   0.037175   0.014559  -0.005217   0.009595   0.259844  -0.031035   0.057081   0.015911  -0.005701   0.010485   0.057666   0.000416  0.260    4      9.056
00920  13.998092   0.684477   0.066969  19215.797  20958.791     78   29    511.388    -34.468     61.807   0.742159  -0.045808   0.082141   1.239153  -0.229451   0.411443   0.930145  -0.057411   0.102947   1.329763  -0.246229   0.441528   0.067109   0.001656  0.930   20      9.015
00936   6.645935   1.210673   0.149675  44517.981  45500.101     27    8    294.779    -47.254     72.978   0.413360  -0.060681   0.093713   0.232503  -0.102393   0.158132   0.578026  -0.084853   0.131044   0.254298  -0.111992   0.172956   0.149675   0.001101  0.578    8      8.970
00943 326.567518   1.143199   0.090768  26584.396  27283.812     17    6    269.467   -222.913     60.632   0.379276  -0.287318   0.078151   0.169261  -0.384668   0.104630   0.504795  -0.382404   0.104014   0.182467  -0.414680   0.112793   0.090768   0.000184  0.505    5      8.944
00996  54.948106  -0.297654   0.127398  37199.148  39336.668     53   10    665.796    -61.418    127.617   0.886060  -0.074851   0.155527   2.238485  -0.567295   1.178743   1.247361  -0.105372   0.218945   2.498051  -0.633076   1.315425   0.127641   0.002544  1.247   10      8.779
00998   7.969680   0.311453   0.081503  24298.479  24971.513     42    7    253.025   -149.008     53.375   0.361196  -0.194790   0.069774   0.144871  -0.234383   0.083957   0.458216  -0.247112   0.088516   0.154184  -0.249451   0.089354   0.081503   0.000633  0.458    5      8.772
01036 335.726849   0.539672   0.163804  48261.189  49825.207     32    7    479.650    -61.422    108.848   0.632994  -0.074230   0.131545   0.847201  -0.298049   0.528180   0.888419  -0.104183   0.184626   0.936917  -0.329611   0.584113   0.163804   0.001907  0.888    7      8.696
01045 345.514290   0.226886   0.109168  32263.664  32940.895     27   10    184.124    -85.382     49.416   0.269312  -0.114364   0.066189   0.061712  -0.078619   0.045501   0.448048  -0.190265   0.110118   0.069414  -0.088430   0.051180   0.109222   0.000754  0.448    7      8.667
01081  31.836592  -1.010332   0.118057  35152.764  35655.516     17    5    225.693    -19.144     56.079   0.311862  -0.024224   0.070962   0.096685  -0.022530   0.066000   0.379225  -0.029456   0.086289   0.101637  -0.023684   0.069380   0.118057   0.000702  0.379    4      8.573
01102  26.632001  -0.662916   0.081932  23587.970  25527.927     63   30    530.312    -51.511     75.467   0.756439  -0.067285   0.098577   1.331231  -0.355236   0.520448   1.004732  -0.089370   0.130934   1.454109  -0.388026   0.568487   0.083043   0.001678  1.005   19      8.533
