 Cluster,RAJ2000,DEJ2000,RA1deg,DE1deg,Ngal,z,r80,R
1213,345.1236,-00.1513,345.1223,-00.1509,  5, 0.3550,  21.4,2
1214,345.1950,-00.1382,345.1844,-00.1350,  7, 0.2011,  45.2,2
1215,345.0378,-00.5241,345.0410,-00.5226,  5, 0.1802,  23.4,1
1216,345.8841,-00.4305,345.8888,-00.4311,  5, 0.3314,  21.8,2
1217,346.0066,-00.2462,346.0107,-00.2372, 11, 0.2390,  29.8,2
1218,346.2630,-01.0347,346.2566,-01.0320, 10, 0.2530,  35.1,2
1219,344.5692,+00.5245,344.5655,+00.5248, 21, 0.2349, 141.1,3
1220,345.6902,+00.5873,345.6872,+00.5832,  5, 0.1780,  39.3,2
1221,346.6322,+00.1865,346.6322,+00.1866,  7, 0.3059,  20.4,4
1222,345.0684,-00.0731,345.0531,-00.0760,  5, 0.1992,  49.3,0
1223,344.3720,+00.5222,344.3710,+00.5172,  6, 0.2669,  21.7,4
1224,346.3324,+00.6744,346.3331,+00.6682,  6, 0.3664,  23.1,4
1225,346.2146,+00.0679,346.2154,+00.0661,  5, 0.3540,  39.3,1
1226,345.2304,-00.9397,345.2319,-00.9473,  5, 0.5370,  33.6,3
1227,344.3287,-01.1406,344.3404,-01.1360, 17, 0.1670, 112.7,4
1228,345.6183,-00.4363,345.6153,-00.4213, 16, 0.2325, 164.3,3
1229,344.9709,+00.2385,344.9783,+00.2400,  5, 0.2576,  28.9,1
1230,345.4416,+00.7008,345.4434,+00.6991,  5, 0.2210,  20.0,0
1231,346.7970,+00.9176,346.7949,+00.9142,  6, 0.3424,  46.5,4
1232,345.7581,+00.6225,345.7537,+00.6318,  6, 0.3615,  81.6,2
1233,345.9193,-00.4711,345.9092,-00.4726, 12, 0.3487, 128.3,2
1234,346.6563,+00.8350,346.6408,+00.8352,  8, 0.3243, 109.5,0
1235,346.3624,+00.6735,346.3779,+00.6786, 27, 0.3580, 100.9,0
1236,344.5843,+00.8874,344.5766,+00.8732,  5, 0.1761,  59.2,2
1237,345.3133,+00.2465,345.3184,+00.2448,  6, 0.4297,  24.7,2
1238,344.6078,+01.1146,344.6034,+01.0907,  8, 0.3414, 127.5,2
1239,344.6996,+00.1600,344.7020,+00.1850,  7, 0.2107,  95.7,0
1240,344.9344,+01.0389,344.9401,+01.0366,  5, 0.3892,  45.6,2
1241,345.1951,+00.8741,345.1924,+00.8756,  9, 0.3545,  33.8,2
1242,344.6188,+01.1469,344.6184,+01.1477,  5, 0.2299,  17.0,2
1243,345.5860,+00.7589,345.5896,+00.7460, 30, 0.3736, 110.7,3
1244,346.7819,+01.0712,346.7805,+01.0726,  5, 0.2290,   8.2,4
