#ACT-CL;RAJ2000;DEJ2000;SNR;z;e_z;n_z;M500c;M500cC;M200m
# ;deg;deg; ; ; ; ;10+14Msun;10+14Msun;10+14Msun
#------------;-----------;-----------;------;-------;-------;----;------;------;------
J0008.8+0117;002.2249526;+01.2834993; 5.366; 0.6241; 0.0000;spec; 1.939; 2.731; 3.332
J0008.8-0124;002.2042789;-01.4166667; 4.273; 0.6738; 0.0159;phot; 1.674; 2.357; 2.854
J0009.1-4147;002.2832790;-41.7916291; 4.988; 0.5973; 0.0087;phot; 1.893; 2.666; 3.260
J0009.4+0649;002.3505928;+06.8304539; 4.635; 0.2382; 0.0000;spec; 2.017; 2.841; 3.749
J0009.8-0205;002.4583625;-02.0873873; 4.671; 0.9153; 0.0179;phot; 1.575; 2.218; 2.659
J0010.0+0852;002.5249275;+08.8726047; 5.154; 0.7646; 0.0247;phot; 2.879; 4.055; 4.940
J0010.0-5113;002.5166217;-51.2208623; 4.526; 0.2771; 0.0073;phot; 1.866; 2.628; 3.419
J0010.1+0353;002.5457481;+03.8874423; 4.681; 0.9686; 0.0276;phot; 1.646; 2.318; 2.781
J0010.2+0641;002.5568842;+06.6848051; 4.536; 0.2640; 0.0000;spec; 2.521; 3.551; 4.671
J0010.3-0337;002.5958200;-03.6250000; 4.280; 0.7865; 0.0137;phot; 1.561; 2.199; 2.642
J0010.7-1127;002.6750343;-11.4625619; 4.370; 0.8277; 0.0000;spec; 2.658; 3.744; 4.542
J0010.8-5111;002.7181352;-51.1972763; 4.239; 0.2162; 0.0041;phot; 1.577; 2.222; 2.937
J0011.5-3253;002.8788948;-32.8989192; 4.778; 0.7410; 0.0198;phot; 2.027; 2.854; 3.455
J0011.7-1523;002.9325443;-15.3859156;10.527; 0.3780; 0.0000;spec; 6.011; 8.466;11.027
J0011.9-4614;002.9753807;-46.2411968; 6.892; 0.5598; 0.0072;phot; 2.296; 3.233; 3.987
J0012.0-4644;003.0207969;-46.7416667; 4.598; 0.7480; 0.0156;phot; 1.723; 2.426; 2.926
J0012.1+0842;003.0457641;+08.7111211; 4.963; 0.2616; 0.0000;spec; 2.708; 3.814; 5.031
J0012.1-3537;003.0319460;-35.6255358; 5.072; 0.6853; 0.0149;phot; 1.857; 2.615; 3.171
J0012.2-4948;003.0625172;-49.8166667; 4.205; 0.7080; 0.0154;phot; 1.483; 2.088; 2.516
J0012.3-5352;003.0875088;-53.8750000; 4.139; 0.3431; 0.0080;phot; 1.985; 2.796; 3.576
J0012.4-3346;003.1168136;-33.7806345; 9.560; 0.6880; 0.0000;spec; 3.252; 4.581; 5.620
J0012.8-0855;003.2100515;-08.9271522; 5.718; 0.3377; 0.0000;spec; 2.498; 3.519; 4.531
J0012.8-3744;003.2221998;-37.7443987; 4.209; 0.3686; 0.0099;phot; 1.591; 2.242; 2.835
J0012.8-5143;003.2124890;-51.7333333; 4.156; 0.3291; 0.0074;phot; 1.977; 2.784; 3.574
J0012.9-0857;003.2333333;-08.9541914; 4.115; 0.3520; 0.0000;spec; 1.907; 2.687; 3.426
J0013.3-1503;003.3487028;-15.0546777; 5.473; 0.4220; 0.0284;phot; 3.515; 4.951; 6.304
