#Name;RAJ2000;DEJ2000;Counts;z;TX
# ;deg;deg;ct; ;keV
#------------;----------;----------;-------;------;------
J1502.2+4228;225.563333;+42.471028;  150.2;  0.24;
J1506.8+0144;226.720417;+01.740222;  165.3;  0.65;  1.80
J1507.0+0106;226.756667;+01.114028;  132.0;  0.20;  0.50
J1508.4-0015;227.103333;-00.258806;  443.9;  0.09;  3.10
J1509.3-0014;227.326250;-00.242417;   52.4;  0.25;  0.90
J1510.8+6706;227.710000;+67.109167;  344.6;  0.34;  4.10
J1515.7+0015;228.946250;+00.258139;   78.1;  0.36;
J1516.3+0005;229.077500;+00.092028;58930.1;  0.12;  5.40
J1531.8+0443;232.950833;+04.720667;  160.2;  0.39;  1.50
J1534.9+2328;233.729583;+23.479000; 1990.6;  0.09;  1.30
J1536.4+5439;234.123750;+54.655778;  220.4;  0.41;  4.60
J1536.7-1410;234.182917;-14.173389; 1201.3;  0.40;  8.30
J1536.8+5437;234.200833;+54.621861;  150.7;  0.38;  3.30
J1542.5+5359;235.637917;+53.988861;  338.0;  0.64;  5.30
J1549.5+2133;237.384167;+21.550694;  468.9;  0.58;  3.60
J1601.4+0838;240.374167;+08.648972;  660.9;  0.19;  1.70
J1610.6+5406;242.667500;+54.103667;  168.7;  0.34;  1.70
J1611.5+5416;242.886250;+54.274528;  644.1;  0.34;  4.60
J1615.9+1219;243.975417;+12.324694;  612.1;  0.34;  3.40
J1630.2+2434;247.565000;+24.573111; 1072.2;  0.06;  3.50
J1632.1+3400;248.042917;+34.006194;  115.2;  0.19;  0.80
J1633.6+5714;248.420833;+57.238917;  134.1;  0.24;  1.40
J1700.6+6412;255.174583;+64.216083;  597.8;  0.24;  2.50
J1712.7+4353;258.192083;+43.892861;  140.1;  0.59;  2.40
J1714.6+6233;258.657917;+62.556167;  257.7;  0.18;  1.40
J1723.5+3411;260.899583;+34.198472;   50.5;  0.41;  2.10
J1908.3+6903;287.085417;+69.055556;  488.5;  0.21;  4.90
J2007.0-4437;301.762917;-44.632667;  467.2;  0.20;  2.30
J2007.9-1102;301.995833;-11.049028;  312.2;  0.11;  2.10
J2015.6-2426;303.900417;-24.437944;  157.6;  0.57;  0.90
J2041.5-3509;310.394583;-35.150333; 2811.1;  0.43;  4.40
J2054.0-1547;313.524583;-15.793472;  261.2;  0.27;  2.50
J2108.8-0516;317.204583;-05.277361;  519.6;  0.32;  2.80
J2127.8-4501;321.952917;-45.031083;  644.2;  0.56;  3.60
J2128.0-4449;322.009167;-44.832667;   89.8;  0.39;
J2128.1-4454;322.031667;-44.904806;  185.1;  0.54;  1.20
J2128.9-1534;322.245000;-15.575167;  298.7;  0.65;  2.40
J2130.4-0000;322.612083;-00.008889; 2569.4;  0.14;  2.50
J2134.0-4240;323.501667;-42.671389;  365.8;  0.20;  2.10
J2152.3-2730;328.090000;-27.504333;  265.1;  0.83;  2.40
J2157.5-6952;329.396667;-69.882250;  220.6;  0.49;  2.90
J2205.8-0159;331.458333;-01.991778;  135.9;  1.12;  2.80
J2206.0-0011;331.520833;-00.187056;  138.6;  0.34;  3.40
J2206.3-0025;331.591250;-00.427778;  297.2;  0.31;  0.50
J2215.9-1738;333.998333;-17.637833;  406.2;  1.46;  4.30
J2216.9-1725;334.235833;-17.424222;54999.6;  0.14;  3.20
J2228.3-0534;337.075833;-05.567611;  240.4;  0.45;  3.70
J2235.3-2557;338.835000;-25.961694; 1285.9;  1.39;  9.00
J2238.8-2026;339.717917;-20.436722;  306.0;  0.35;  1.80
J2239.4-0547;339.851667;-05.788306; 2241.1;  0.24;  2.80
J2239.5-0600;339.891667;-06.004861;  486.8;  0.17;  1.40
J2239.6-0543;339.913750;-05.724278; 2496.7;  0.24;  2.80
J2241.2+0328;340.306250;+03.475694;  154.2;  0.19;  1.40
J2302.7+0843;345.698750;+08.732194;  323.9;  0.72;  6.20
J2318.0-4235;349.522500;-42.595056; 2166.9;  0.21;  1.80
J2318.8-4231;349.717917;-42.529889; 1707.4;  0.11;  0.86
J2321.4+1945;350.352500;+19.754111; 4232.6;  0.40;  3.70
J2321.8+1953;350.469167;+19.893028;  436.4;  0.30;  4.10
J2321.9+1938;350.483333;+19.635500;   87.1;  0.42;  2.50
J2322.3+1938;350.588750;+19.648611;  472.2;  0.23;  1.70
J2325.6-5443;351.400833;-54.731806;  566.0;  0.10;  1.80
J2329.4+0526;352.357917;+05.440028;  294.8;  0.37;  2.60
J2332.4+1958;353.114583;+19.972806;  359.4;  0.27;  3.20
J2335.6+0217;353.904167;+02.293917;  267.9;  0.39;  5.80
J2337.9+2711;354.487500;+27.189167; 1731.6;  0.12;  3.40
J2339.5-1214;354.897500;-12.238639;  846.4;  0.53;  3.00
J2339.8-1213;354.957500;-12.218417;  368.6;  0.49;  1.80
J2357.1-2414;359.285833;-24.247000;  248.3;  0.59;  7.40
J2357.5-2429;359.375833;-24.485806;   96.3;  0.67;

