#Name;RAJ2000;DEJ2000;Counts;z;TX
# ;deg;deg;ct; ;keV
#------------;----------;----------;-------;------;------
J0226.5-0404;036.644583;-04.068889;  239.9;  0.35;  5.30
J0227.1-0418;036.789583;-04.301389;  179.7;  1.05;  7.50
J0227.3-0321;036.842083;-03.362556;  330.3;  0.33;  2.50
J0227.4-0432;036.861250;-04.535861;  303.4;  0.31;  1.70
J0227.6-0318;036.910417;-03.300361;  204.5;  0.84;  3.60
J0228.2-1005;037.052083;-10.093972;  280.0;  0.15;  2.10
J0228.4-0425;037.113750;-04.428389;  497.2;  0.43;  3.30
J0233.7-0850;038.441667;-08.846806;  179.6;  0.25;  2.10
J0237.9-5224;039.499583;-52.409556; 3571.6;  0.14;  3.70
J0241.8-0005;040.460417;-00.097194;   66.3;  0.28;  1.60
J0243.1+3723;040.798333;+37.391611;   69.5;  0.52;  2.70
J0248.1+3115;042.040833;+31.254556;  145.9;  0.35;  4.30
J0248.5+3119;042.148333;+31.321389;  248.4;  0.37;
J0250.1-3104;042.526667;-31.066889;  622.2;  0.91;  5.60
J0301.7+0003;045.439583;+00.059944;   80.3;  0.69;
J0302.0-0000;045.521250;-00.001000;  373.3;  0.65;  5.60
J0302.1-0001;045.547500;-00.026194;  196.2;  1.19;  2.30
J0303.2+0012;045.822500;+00.210667;  109.5;  0.59;  1.40
J0303.5-0057;045.886667;-00.959861;   82.3;  0.64;  2.50
J0303.8-7752;045.951250;-77.878139;14659.0;  0.27;  8.70
J0306.2-0005;046.560000;-00.093278; 1173.8;  0.43;  2.30
J0306.2-0008;046.571667;-00.142944; 2236.0;  0.11;  1.80
J0306.5-0004;046.641667;-00.073250;  421.2;  0.11;  1.00
J0306.6-0018;046.655417;-00.304639;  113.5;  0.44;
J0306.7-0001;046.684167;-00.020194;  101.0;  0.11;
J0306.9+0008;046.749167;+00.140250;  156.0;  0.08;  2.30
J0325.8-0617;051.472083;-06.288861;   91.2;  0.32;  1.60
J0330.8-5228;052.707083;-52.476806;14934.9;  0.44;  4.50
J0333.8+0006;053.464583;+00.100111;  119.6;  0.49;
J0334.7+0017;053.688750;+00.285333;  103.3;  0.31;  1.90
J0335.9+0032;053.984167;+00.537417;  685.5;  0.43;  2.90
